time,LeftHipRoll_q_cmd,LeftHipRoll_dq_cmd,LeftHipRoll_tau_cmd,LeftHipRoll_q_meas,LeftHipRoll_dq_meas,LeftHipRoll_ddq_meas,LeftHipRoll_tau_meas,LeftKnee_q_cmd,LeftKnee_dq_cmd,LeftKnee_tau_cmd,LeftKnee_q_meas,LeftKnee_dq_meas,LeftKnee_ddq_meas,LeftKnee_tau_meas
1.999999999890977875e-03,1.355001509772437718e+00,7.557894014606269866e-04,0.000000000000000000e+00,9.849756956100463867e-01,3.374709188938140869e-01,0.000000000000000000e+00,3.515625000000000000e+01,8.950015097724377533e-01,7.557894014606269866e-04,0.000000000000000000e+00,8.152809739112854004e-01,2.025163918733596802e-01,0.000000000000000000e+00,6.843750000000000000e+00
3.999999999890757607e-03,1.355006046308769863e+00,1.515183469508058108e-03,0.000000000000000000e+00,9.857426881790161133e-01,3.344992101192474365e-01,0.000000000000000000e+00,3.478125000000000000e+01,8.950060463087698981e-01,1.515183469508058108e-03,0.000000000000000000e+00,8.156644701957702637e-01,2.022068351507186890e-01,0.000000000000000000e+00,6.937500000000000000e+00
5.999999999890537339e-03,1.355013620408329400e+00,2.278167502540152500e-03,0.000000000000000000e+00,9.865416288375854492e-01,3.354838490486145020e-01,0.000000000000000000e+00,3.515625000000000000e+01,8.950136204083293245e-01,2.278167502540152500e-03,0.000000000000000000e+00,8.160479664802551270e-01,2.016834765672683716e-01,0.000000000000000000e+00,7.125000000000000000e+00
7.999999999890317071e-03,1.355024242830966674e+00,3.044726520859518913e-03,0.000000000000000000e+00,9.874044656753540039e-01,3.415426909923553467e-01,0.000000000000000000e+00,3.571875000000000000e+01,8.950242428309667098e-01,3.044726520859518913e-03,0.000000000000000000e+00,8.165113329887390137e-01,2.013217806816101074e-01,0.000000000000000000e+00,7.218750000000000000e+00
9.999999999890096802e-03,1.355037924296353502e+00,3.814845264727346683e-03,0.000000000000000000e+00,9.886828064918518066e-01,3.618800342082977295e-01,0.000000000000000000e+00,3.721875000000000000e+01,8.950379242963535376e-01,3.814845264727346683e-03,0.000000000000000000e+00,8.170226812362670898e-01,2.022125571966171265e-01,0.000000000000000000e+00,7.312500000000000000e+00
1.199999999988987653e-02,1.355054675483279958e+00,4.588508192459196840e-03,0.000000000000000000e+00,9.896894693374633789e-01,3.805796504020690918e-01,0.000000000000000000e+00,3.553125000000000000e+01,8.950546754832799934e-01,4.588508192459196840e-03,0.000000000000000000e+00,8.177257776260375977e-01,2.069993019104003906e-01,0.000000000000000000e+00,7.218750000000000000e+00
1.399999999988965627e-02,1.355074507028948938e+00,5.365699478521896403e-03,0.000000000000000000e+00,9.904564619064331055e-01,3.956498503684997559e-01,0.000000000000000000e+00,3.496875000000000000e+01,8.950745070289489735e-01,5.365699478521896403e-03,0.000000000000000000e+00,8.184288144111633301e-01,2.130919098854064941e-01,0.000000000000000000e+00,7.500000000000000000e+00
1.599999999988943600e-02,1.355097429528264730e+00,6.146403011631638297e-03,0.000000000000000000e+00,9.911276102066040039e-01,4.041180312633514404e-01,0.000000000000000000e+00,3.534375000000000000e+01,8.950974295282647653e-01,6.146403011631638297e-03,0.000000000000000000e+00,8.184288144111633301e-01,2.130919098854064941e-01,0.000000000000000000e+00,7.500000000000000000e+00
1.799999999988921573e-02,1.355123453533117805e+00,6.930602392853442602e-03,0.000000000000000000e+00,9.917986989021301270e-01,4.065408706665039062e-01,0.000000000000000000e+00,3.534375000000000000e+01,8.951234535331177300e-01,6.930602392853442602e-03,0.000000000000000000e+00,8.189880847930908203e-01,2.184394896030426025e-01,0.000000000000000000e+00,7.031250000000000000e+00
1.999999999988899546e-02,1.355152589551664288e+00,7.718280933702107924e-03,0.000000000000000000e+00,9.926615953445434570e-01,4.020890891551971436e-01,0.000000000000000000e+00,3.628125000000000000e+01,8.951525895516644349e-01,7.718280933702107924e-03,0.000000000000000000e+00,8.194515109062194824e-01,2.236640602350234985e-01,0.000000000000000000e+00,6.562500000000000000e+00
