time,q_cmd,dq_cmd,tau_cmd,q_meas,dq_meas,ddq_meas,tau_meas
1.999999999890977875e-03,8.950125662879298005e-01,6.283061282138407630e-03,0.000000000000000000e+00,7.836905717849731445e-01,2.203432321548461914e-01,0.000000000000000000e+00,1.040625000000000000e+01
3.999999999890757607e-03,8.950502641595307063e-01,1.256537842621906036e-02,0.000000000000000000e+00,7.841539382934570312e-01,2.180366814136505127e-01,0.000000000000000000e+00,1.031250000000000000e+01
5.999999999890537339e-03,8.951130906382883667e-01,1.884620734246278406e-02,0.000000000000000000e+00,7.849209308624267578e-01,2.131721824407577515e-01,0.000000000000000000e+00,1.106250000000000000e+01
7.999999999890317071e-03,8.952010407635412337e-01,2.512480403935401368e-02,0.000000000000000000e+00,7.852565050125122070e-01,2.111304104328155518e-01,0.000000000000000000e+00,9.937500000000000000e+00
9.999999999890096802e-03,8.953141075907743440e-01,3.140042467225309664e-02,0.000000000000000000e+00,7.855761051177978516e-01,2.073666602373123169e-01,0.000000000000000000e+00,1.031250000000000000e+01
1.199999999988987653e-02,8.954522821920308795e-01,3.767232559234229977e-02,0.000000000000000000e+00,7.859116792678833008e-01,2.009014189243316650e-01,0.000000000000000000e+00,1.087500000000000000e+01
1.399999999988965627e-02,8.956155536564404107e-01,4.393976339556102811e-02,0.000000000000000000e+00,7.862631678581237793e-01,1.939213573932647705e-01,0.000000000000000000e+00,1.021875000000000000e+01
1.599999999988943600e-02,8.958039090908652691e-01,5.020199497152744855e-02,0.000000000000000000e+00,7.866626381874084473e-01,1.863442361354827881e-01,0.000000000000000000e+00,1.096875000000000000e+01
1.799999999988921573e-02,8.960173336206639361e-01,5.645827755244394591e-02,0.000000000000000000e+00,7.866626381874084473e-01,1.863442361354827881e-01,0.000000000000000000e+00,1.096875000000000000e+01
1.999999999988899546e-02,8.962558103905723383e-01,6.270786876198360116e-02,0.000000000000000000e+00,7.866626381874084473e-01,1.863442361354827881e-01,0.000000000000000000e+00,1.096875000000000000e+01
2.199999999988877519e-02,8.965193205657016051e-01,6.895002666415504800e-02,0.000000000000000000e+00,7.875574827194213867e-01,1.756840497255325317e-01,0.000000000000000000e+00,1.068750000000000000e+01
2.399999999988855492e-02,8.968078433326536203e-01,7.518400981214298784e-02,0.000000000000000000e+00,7.879889011383056641e-01,1.740011870861053467e-01,0.000000000000000000e+00,1.021875000000000000e+01
2.599999999988833466e-02,8.971213559007539251e-01,8.140907729712171248e-02,0.000000000000000000e+00,7.879889011383056641e-01,1.740011870861053467e-01,0.000000000000000000e+00,1.021875000000000000e+01
2.799999999988811439e-02,8.974598335034011942e-01,8.762448879703872706e-02,0.000000000000000000e+00,7.886919975280761719e-01,1.762658506631851196e-01,0.000000000000000000e+00,9.562500000000000000e+00
2.999999999988789412e-02,8.978232493995343955e-01,9.382950462536622516e-02,0.000000000000000000e+00,7.889955639839172363e-01,1.765076518058776855e-01,0.000000000000000000e+00,1.050000000000000000e+01
3.199999999988767385e-02,8.982115748752164119e-01,1.000233857798171339e-01,0.000000000000000000e+00,7.892991900444030762e-01,1.751408874988555908e-01,0.000000000000000000e+00,1.012500000000000000e+01
3.399999999988745358e-02,8.986247792453349037e-01,1.062053939910235084e-01,0.000000000000000000e+00,7.895868420600891113e-01,1.719337403774261475e-01,0.000000000000000000e+00,1.068750000000000000e+01
3.599999999988723332e-02,8.990628298554199649e-01,1.123747917711743760e-01,0.000000000000000000e+00,7.895868420600891113e-01,1.719337403774261475e-01,0.000000000000000000e+00,1.068750000000000000e+01
3.799999999988701305e-02,8.995256920835782433e-01,1.185308424626104057e-01,0.000000000000000000e+00,7.898744344711303711e-01,1.666355580091476440e-01,0.000000000000000000e+00,1.087500000000000000e+01
3.999999999988679278e-02,9.000133293425438552e-01,1.246728102863725735e-01,0.000000000000000000e+00,7.901620268821716309e-01,1.600938141345977783e-01,0.000000000000000000e+00,1.021875000000000000e+01
4.199999999988657251e-02,9.005257030818460962e-01,1.307999603907023800e-01,0.000000000000000000e+00,7.904656529426574707e-01,1.532892584800720215e-01,0.000000000000000000e+00,1.068750000000000000e+01
