time,q_cmd,dq_cmd,tau_cmd,q_meas,dq_meas,ddq_meas,tau_meas
1.999999999890977875e-03,1.508867661862669145e-06,7.548846285044302946e-04,0.000000000000000000e+00,2.351447939872741699e-03,4.142340549151413143e-05,0.000000000000000000e+00,0.000000000000000000e+00
3.999999999890757607e-03,6.039070632175637047e-06,1.511564446624206115e-03,0.000000000000000000e+00,2.335473895072937012e-03,1.082276503439061344e-04,0.000000000000000000e+00,1.875000000000000000e-01
5.999999999890537339e-03,1.359598000299137331e-05,2.270024960430211750e-03,0.000000000000000000e+00,2.319499850273132324e-03,-1.986816641874611378e-04,0.000000000000000000e+00,-5.625000000000000000e-01
7.999999999890317071e-03,2.418492807815766067e-05,3.030251538150102470e-03,0.000000000000000000e+00,2.319499850273132324e-03,4.059487400809302926e-05,0.000000000000000000e+00,-4.687500000000000000e-01
9.999999999890096802e-03,3.781120802824904006e-05,3.792229409769721886e-03,0.000000000000000000e+00,2.303510904312133789e-03,4.867956886300817132e-05,0.000000000000000000e+00,-1.875000000000000000e-01
1.199999999988987653e-02,5.448007354464274058e-05,4.555943666678130034e-03,0.000000000000000000e+00,2.287536859512329102e-03,-5.233867559581995010e-04,0.000000000000000000e+00,-9.375000000000000000e-02
1.399999999988965627e-02,7.419673849274504348e-05,5.321379261315264779e-03,0.000000000000000000e+00,2.319499850273132324e-03,4.955875920131802559e-04,0.000000000000000000e+00,-6.562500000000000000e-01
1.599999999988943600e-02,9.696637656437440188e-05,6.088521006822268829e-03,0.000000000000000000e+00,2.319499850273132324e-03,2.757342590484768152e-04,0.000000000000000000e+00,-1.875000000000000000e-01
1.799999999988921573e-02,1.227941209293075735e-04,6.857353576694509914e-03,0.000000000000000000e+00,2.319499850273132324e-03,2.757342590484768152e-04,0.000000000000000000e+00,-1.875000000000000000e-01
1.999999999988899546e-02,1.516850638859948376e-04,7.627861504437319709e-03,0.000000000000000000e+00,2.319499850273132324e-03,-1.143870031228289008e-04,0.000000000000000000e+00,-2.812500000000000000e-01
2.199999999988877519e-02,1.836442565114509474e-04,8.400029183224494433e-03,0.000000000000000000e+00,2.319499850273132324e-03,-2.278467945870943367e-05,0.000000000000000000e+00,-9.375000000000000000e-02
2.399999999988855492e-02,2.186767083103281469e-04,9.173840865559584890e-03,0.000000000000000000e+00,2.319499850273132324e-03,-3.201476647518575191e-04,0.000000000000000000e+00,-4.687500000000000000e-01
2.599999999988833466e-02,2.567873868631779057e-04,9.949280662940004558e-03,0.000000000000000000e+00,2.319499850273132324e-03,-3.303595440229400992e-05,0.000000000000000000e+00,0.000000000000000000e+00
2.799999999988811439e-02,2.979812174739075942e-04,1.072633254552397657e-02,0.000000000000000000e+00,2.303510904312133789e-03,-6.626186077482998371e-04,0.000000000000000000e+00,-4.687500000000000000e-01
2.999999999988789412e-02,3.422630828164392931e-04,1.150498034180039153e-02,0.000000000000000000e+00,2.303510904312133789e-03,-7.673141954001039267e-05,0.000000000000000000e+00,-5.625000000000000000e-01
3.199999999988767385e-02,3.896378225805775699e-04,1.228520773826155717e-02,0.000000000000000000e+00,2.303510904312133789e-03,-5.397577187977731228e-04,0.000000000000000000e+00,-5.625000000000000000e-01
3.399999999988745358e-02,4.401102331170915613e-04,1.306699827907889348e-02,0.000000000000000000e+00,2.319499850273132324e-03,1.502262330177472904e-05,0.000000000000000000e+00,-9.375000000000000000e-02
3.599999999988723332e-02,4.936850670820206030e-04,1.385033536578163943e-02,0.000000000000000000e+00,2.319499850273132324e-03,-1.151300166384316981e-04,0.000000000000000000e+00,-1.875000000000000000e-01
3.799999999988701305e-02,5.503670330802089934e-04,1.463520225693851380e-02,0.000000000000000000e+00,2.319499850273132324e-03,-1.945160038303583860e-04,0.000000000000000000e+00,0.000000000000000000e+00
3.999999999988679278e-02,6.101607953080762309e-04,1.542158206784249863e-02,0.000000000000000000e+00,2.335473895072937012e-03,5.707222735509276390e-04,0.000000000000000000e+00,1.875000000000000000e-01
4.199999999988657251e-02,6.730709731956319424e-04,1.620945777019860978e-02,0.000000000000000000e+00,2.335473895072937012e-03,4.129578592255711555e-04,0.000000000000000000e+00,-1.875000000000000000e-01
4.399999999988635224e-02,7.391021410477401641e-04,1.699881219181486464e-02,0.000000000000000000e+00,2.335473895072937012e-03,6.127936649136245251e-04,0.000000000000000000e+00,3.750000000000000000e-01
4.599999999988613197e-02,8.082588276846428953e-04,1.778962801629632717e-02,0.000000000000000000e+00,2.335473895072937012e-03,6.127936649136245251e-04,0.000000000000000000e+00,3.750000000000000000e-01
4.799999999988591171e-02,8.805455160817480219e-04,1.858188778274236577e-02,0.000000000000000000e+00,2.351447939872741699e-03,1.109347678720951080e-03,0.000000000000000000e+00,1.875000000000000000e-01
4.999999999988569144e-02,9.559666430086899555e-04,1.937557388544710116e-02,0.000000000000000000e+00,2.335473895072937012e-03,1.018718816339969635e-03,0.000000000000000000e+00,1.875000000000000000e-01
5.199999999988547117e-02,1.034526598667671231e-03,2.017066857360310522e-02,0.000000000000000000e+00,2.319499850273132324e-03,4.781636234838515520e-04,0.000000000000000000e+00,0.000000000000000000e+00
5.399999999988525090e-02,1.116229726331090591e-03,2.096715395100835419e-02,0.000000000000000000e+00,2.319499850273132324e-03,2.780186769086867571e-04,0.000000000000000000e+00,-9.375000000000000000e-02
5.599999999988503063e-02,1.201080321978467095e-03,2.176501197577655061e-02,0.000000000000000000e+00,2.335473895072937012e-03,5.803011590614914894e-04,0.000000000000000000e+00,-9.375000000000000000e-02
5.799999999988481036e-02,1.289082633932667850e-03,2.256422446005070317e-02,0.000000000000000000e+00,2.319499850273132324e-03,-1.770684611983597279e-04,0.000000000000000000e+00,0.000000000000000000e+00
5.999999999988459010e-02,1.380240862495446183e-03,2.336477306972013432e-02,0.000000000000000000e+00,2.351447939872741699e-03,6.793277570977807045e-04,0.000000000000000000e+00,-1.875000000000000000e-01
6.199999999988436983e-02,1.474559159582297966e-03,2.416663932414090527e-02,0.000000000000000000e+00,2.351447939872741699e-03,4.471252032089978456e-04,0.000000000000000000e+00,-1.875000000000000000e-01
6.399999999988414956e-02,1.572041628356644644e-03,2.496980459585964110e-02,0.000000000000000000e+00,2.351447939872741699e-03,4.471252032089978456e-04,0.000000000000000000e+00,-1.875000000000000000e-01
6.599999999988392929e-02,1.672692322863353820e-03,2.577425011034087041e-02,0.000000000000000000e+00,2.335473895072937012e-03,5.151645746082067490e-04,0.000000000000000000e+00,-1.875000000000000000e-01
6.799999999988370902e-02,1.776515247661597388e-03,2.657995694569786210e-02,0.000000000000000000e+00,2.335473895072937012e-03,4.517687193583697081e-04,0.000000000000000000e+00,0.000000000000000000e+00
6.999999999988348875e-02,1.883514357457065878e-03,2.738690603242701499e-02,0.000000000000000000e+00,2.335473895072937012e-03,6.487733335234224796e-04,0.000000000000000000e+00,-4.687500000000000000e-01
7.199999999988326849e-02,1.993693556733539853e-03,2.819507815314579655e-02,0.000000000000000000e+00,2.335473895072937012e-03,5.131880752742290497e-04,0.000000000000000000e+00,1.875000000000000000e-01
7.399999999988304822e-02,2.107056699383827274e-03,2.900445394233434893e-02,0.000000000000000000e+00,2.319499850273132324e-03,1.863784418674185872e-04,0.000000000000000000e+00,9.375000000000000000e-02
7.599999999988282795e-02,2.223607588340080054e-03,2.981501388608071013e-02,0.000000000000000000e+00,2.319499850273132324e-03,3.223019593860954046e-04,0.000000000000000000e+00,-1.875000000000000000e-01
7.799999999988260768e-02,2.343349975203494126e-03,3.062673832182969194e-02,0.000000000000000000e+00,2.351447939872741699e-03,7.566428394056856632e-04,0.000000000000000000e+00,1.875000000000000000e-01
7.999999999988238741e-02,2.466287559873401713e-03,3.143960743813555697e-02,0.000000000000000000e+00,2.351447939872741699e-03,6.099517922848463058e-04,0.000000000000000000e+00,2.812500000000000000e-01
8.199999999988216715e-02,2.592423990175762947e-03,3.225360127441834202e-02,0.000000000000000000e+00,2.351447939872741699e-03,4.248866462148725986e-04,0.000000000000000000e+00,4.687500000000000000e-01
8.399999999988194688e-02,2.721762861491077226e-03,3.306869972072406377e-02,0.000000000000000000e+00,2.367436885833740234e-03,8.719035540707409382e-04,0.000000000000000000e+00,2.812500000000000000e-01
